cid,countyName,predict,truePoverty,error
0500000US37089,Henderson County North Carolina,14.35875502,11.8,-2.558755024
0500000US48077,Clay County Texas,19.276968,15,-4.276968
0500000US48397,Rockwall County Texas,-0.339032354,5.8,6.139032354
0500000US37167,Stanly County North Carolina,3.923723504,15.7,11.7762765
0500000US20153,Rawlins County Kansas,-27.71350791,8.7,36.41350791
0500000US27081,Lincoln County Minnesota,12.50050052,11.4,-1.100500517
0500000US36013,Chautauqua County New York,12.94545418,18.5,5.554545819
0500000US47159,Smith County Tennessee,-5.845734304,14.1,19.9457343
0500000US47127,Moore County Tennessee,-15.14351424,7.7,22.84351424
0500000US37077,Granville County North Carolina,129.1817654,14.3,-114.8817654
0500000US29039,Cedar County Missouri,15.77597391,22.6,6.82402609
0500000US54013,Calhoun County West Virginia,107.3811711,17.1,-90.28117109
0500000US47001,Anderson County Tennessee,-79.81751222,16.3,96.11751222
0500000US35061,Valencia County New Mexico,-8.120387404,22,30.1203874
0500000US17033,Crawford County Illinois,52.62207655,11.9,-40.72207655
0500000US20007,Barber County Kansas,8.468945312,15.9,7.431054688
0500000US48025,Bee County Texas,9.767001638,19.7,9.932998362
0500000US42075,Lebanon County Pennsylvania,-11.86514299,10.5,22.36514299
0500000US17171,Scott County Illinois,21.66559309,14.9,-6.765593086
0500000US30093,Silver Bow County Montana,65.16807589,19.2,-45.96807589
0500000US05133,Sevier County Arkansas,33.8215791,21.2,-12.6215791
0500000US30101,Toole County Montana,4.069387716,16.6,12.53061228
0500000US36111,Ulster County New York,20.07171793,13.2,-6.871717931
0500000US21137,Lincoln County Kentucky,28.51389839,23.8,-4.713898395
0500000US28027,Coahoma County Mississippi,-10.12816731,36.2,46.32816731
0500000US13233,Polk County Georgia,85.649591,19,-66.649591
0500000US21081,Grant County Kentucky,14.04767293,21.5,7.452327075
0500000US49057,Weber County Utah,4.581806229,12.1,7.518193771
0500000US26131,Ontonagon County Michigan,14.92355898,15.5,0.57644102
0500000US41011,Coos County Oregon,2.695883572,17.9,15.20411643
0500000US29149,Oregon County Missouri,40.17335101,25.3,-14.87335101
0500000US51009,Amherst County Virginia,17.06404018,13.4,-3.664040179
0500000US02240,Southeast Fairbanks Census Area Alaska,68.64974249,13.9,-54.74974249
0500000US28009,Benton County Mississippi,77.06886212,20.2,-56.86886212
0500000US45053,Jasper County South Carolina,19.03292068,22.6,3.567079317
0500000US01007,Bibb County Alabama,-7.007730491,15.2,22.20773049
0500000US36107,Tioga County New York,9.224998652,11.2,1.975001348
0500000US29161,Phelps County Missouri,92.38282145,20.4,-71.98282145
0500000US56037,Sweetwater County Wyoming,6.776098727,12,5.223901273
0500000US38065,Oliver County North Dakota,15.82386332,3.1,-12.72386332
0500000US53025,Grant County Washington,35.68207628,15.9,-19.78207628
0500000US21051,Clay County Kentucky,0.068153534,39.5,39.43184647
0500000US40051,Grady County Oklahoma,18.32126205,12.4,-5.921262046
0500000US19061,Dubuque County Iowa,21.62827904,11.9,-9.72827904
0500000US55089,Ozaukee County Wisconsin,26.16244449,5.9,-20.26244449
0500000US40153,Woodward County Oklahoma,7.913285074,11.7,3.786714926
0500000US37091,Hertford County North Carolina,19.42379163,23.3,3.876208367
0500000US17029,Coles County Illinois,-363.0880667,21,384.0880667
0500000US20039,Decatur County Kansas,5.664142414,17.5,11.83585759
0500000US51127,New Kent County Virginia,7.408352843,5.1,-2.308352843
0500000US06055,Napa County California,28.10463682,8.2,-19.90463682
0500000US21157,Marshall County Kentucky,24.49915508,10.8,-13.69915508
0500000US51630,Fredericksburg city Virginia,-12.21966526,16.3,28.51966526
0500000US39031,Coshocton County Ohio,18.44600309,15,-3.446003088
0500000US20147,Phillips County Kansas,14.63855573,8.1,-6.53855573
